Total output lines: 434

MLS #,Location,Sold/List Price,Acres,Days on Market,Zoning Comments,Remarks / Comments,acres_num,dom_num,list_price_num,sold_price_num,price_num,ppa,acre_band,sold_to_list
A145915A,Sturgeon Bay,"$45,000",0.66,104,Residential,"• Build your vision in the heart of Sturgeon Bay!
• Perfectly positioned to enjoy beautiful Door County sunrises, and sunsets.
• This vacant lot on N.
• 20th Avenue offers a great opportunity to construct your dream home or invest in a growing Door County community.",0.66,104.0,45000.0,,45000.0,68181.81818181818,<1 ac,
A145916A,Sturgeon Bay,"$45,000",0.67,104,Residential,"• Build your vision in the heart of Sturgeon Bay!
• Perfectly positioned to enjoy beautiful Door County sunrises, and sunsets.
• This vacant lot on N.
• 20th Avenue offers a great opportunity to construct your dream home or invest in a growing Door County community.",0.67,104.0,45000.0,,45000.0,67164.1791044776,<1 ac,
A144855A,Sturgeon Bay,"$189,000",1.36,132,R-4 Addllnfo: across from Sturgeon Bay School,"• Two adjoining lots totaling 1.36 acres are offered in a convenient 12th Avenue location in Sturgeon Bay, directly across from Sturgeon Bay School.
• Situated in a high-traffic area, this property is zoned R-4, allowing for a variety of potential uses and development opportunities (please check with zoning as some uses require conditional use permits).
• A great opportunity to develop and capitalize on these versatile lots in a highly visible, accessible location.
• Listing includes 2 parcels (2816223000201&2816223000209), taxes reflect both parcels.",1.36,132.0,189000.0,,189000.0,138970.5882352941,1-2 ac,
A144773A,Sturgeon Bay,"$365,000",0.28,176,C-2,"• This vacant lot is a rare opportunity for your Downtown Sturgeon Bay development.
• High visibility on a prime traffic and business corridor.
• Perfect for tourist or service based business, with mixed use potential to add housing and more for added income.
• Bring your ideas and be a part of the recent redevelopment in the area.",0.28,176.0,365000.0,,365000.0,1303571.4285714284,<1 ac,
A144738A,Sturgeon Bay,"$189,000",2.40,189,Not Zoned,"• Beautiful lot on 2.40 acres ready for you to build your dream home!
• Electric service on the lot with an active account, a 300-gallon septic tank buried for camper use.
• Perk tested completed and suitable for a conventional septic system.
• AT&T fiber at the driveway, and an outdoor shed and two stone firepits.",2.4,189.0,189000.0,,189000.0,78750.0,2-5 ac,
A144618A,Sturgeon Bay,"$499,900",2.41,223,C-1 Zng 2: R-2,"• This vacant lot, located on Sturgeon Bay's main drag to the downtown district, offers exciting opportunities with its mixed zoning designations.
• Zoned C-1 along the front half bordering Egg Harbor Rd and R-2 along the back of the property and accessible via Bonnie View Dr, this lot currently offers both commercial and residential possibilities.
• There are two 64 unit apartment buildings just to the Northeast of this lot along with a Cobblestone Hotel that may be building two lots over.
• As an added bonus it is also in the City of Sturgeon Bay's TID District #6",2.41,223.0,499900.0,,499900.0,207427.38589211617,2-5 ac,
A141923A,Sturgeon Bay,"$399,000",3,671,R-2 Zng 2: R-3 Addllnfo: Between 8th PL and Bonnie View Drive,"• A great opportunity to develop 12 lots located in a wonderful residential area of Sturgeon Bay.
• The city has TID #6 in place to provide a paved road between 8th PI and Bonnie View Dr, as well as municipal water, sewer to the lots and will work with a potential Buyers.
• This property has multiple zoning, 7 lots are zoned R2 and 5 are zoned R3.
• Parcels are identified in the Door County tax records as tax parcel #'s 2814690000400, 2814690000500, 2814690000600, 2814690000700, 2814690000800, 2814690000900, 2814690001000, 2814690001800, 2814690001900, 2814690002000, 2814690002100.",3.0,671.0,399000.0,,399000.0,133000.0,2-5 ac,
A141638A,Sturgeon Bay,"$300,000",40,730,Natural Area (NA) Zng 2: Wetland (W),"• Enjoy the melodic sounds and soothing views compliments of Mother Nature as you hike this unique natural area a block away from Lake Michigan.
• Home to a variety of rare plants, and sand dunes, along with a frog and fish filled creek.
• This 4O acre parcel, surrounded by the Kellner Fen Preserve, is truly a nature lover's paradise!
• Use caution when walking the property.",40.0,730.0,300000.0,,300000.0,7500.0,40+ ac,
,,,,,,,,,,,,,unknown,
L147177A,Washington,"$350,000",4.66,11,Single Family Res 30000 (SF30) Zng 2: Estate (ES),"• West side shore lot with electric in place and a roughed in driveway.
• The driveway needs to be finished with gravel.
• Sunsets, swimming, gorgeous water views, this lot has it all.
• There is a utility easement that crosses the property.",4.66,11.0,350000.0,,350000.0,75107.29613733906,2-5 ac,
A147086A,Washington,"$129,900",10.06,26,Countryside (CS),"• Great opportunity to own a beautiful wooded lot in a great location!
• This 10 acre parcel is approximately 1.5 miles from Jackson Harbor dock and the Ridges.
• There is an easement road that does run through the property to access two parcels to the west.
• 10 amazing acres to build your dream home.",10.06,26.0,129900.0,,129900.0,12912.524850894632,10-20 ac,
A144044A,Washington,"$43,000",1.62,345,Single Family Res 30000 (SF30),"• Includes deeded access to 2200 feet of Lake Michigan shore front!!
• Ask for a copy of the rules/regulations for this property owners association.
• Camping is not allowed and once a home is built it cannot be used for rentals in this association.
• Yearly dues are $30.",1.62,345.0,43000.0,,43000.0,26543.20987654321,1-2 ac,
L144024A,Washington,"$585,000",5.25,350,Estate (ES) Addllnfo: Partial bluff,"• Absolutely spectacular Green Bay shore parcel.
• 5.4 acres offering 595 feet of white small rock shore frontage.
• This incredible property has driveway into the building site and access to the limestone beach (similar to School House Beach rock).
• Possible walk out basement?",5.25,350.0,585000.0,,585000.0,111428.57142857143,5-10 ac,
,,,,,,,,,,,,,unknown,
